우울감,때때로 나는 우울증 없이 살고 싶다.
우울감,"당신이 바보라면, 당신은 우울하다."
우울감,우울증은 끝났고 지금은 막을 수 없다.
우울감,"사람들은 모른다, 나는 정말로 우울하다."
우울감,나는 정말로 우울하다고 느낀다.
우울감,왜 그렇게 우울한지 모르겠다.
우울감,오늘날 진정한 우울증 때문에 아무것도 손에 들지 않습니다.
우울감,잠을 자고 깨어나는 것은 우울하다.
우울감,"어쩌면 그것은 나의 눈물 때문에, 그리고 그것은 나의 우울증 때문에."
우울감,솔직히 말하자면 지금은 우울하다.
우울감,당신의 마음은 복잡하고 복잡합니다.
우울감,어렵고 피곤한 이유가 없었다.
우울감,집중하지 않고 어리석은
우울감,"내가 말했을 때, 내 마음은 텅 비어 있었다."
우울감,"그것은 일어나지 않지만, 나는 여전히 죽고있다."
우울감,"혼자있을 때, 불행을 제거하십시오."
우울감,그것은 눈물의 날과 같았다.
우울감,왜 그런지 모르겠지만 힘들다.
우울감,하루 종일 기분이 좋지 않았다.
우울감,아무도 아무 말도 하지 않았지만 나는 바보였다.
우울감,나는 휴대폰을 보면서 시간을 보냈다.
우울감,나는 앉아서 지붕을 바라보는 시간을 보냈다.
우울감,나는 하루 종일 방에서 조용했다.
우울감,나는 하루 종일 창문 밖을 바라보았다.
우울감,오늘은 아무것도 하지 않고 침대에 누워있었습니다.
우울감,거울 속에서 이상하게 느껴졌다.
우울감,나는 내 친구에게 대답할 수 없었다.
우울감,나는 집안일을 하지 않았고 시간을 보냈다.
우울감,나는 심지어 샤워를 하지 않았다.
우울감,나는 바보였고 그냥 바보였다.
불안,"당신이 어리석은 경우에, 불안을 얻으십시오."
불안,"사람들은 모른다, 나는 정말 걱정."
불안,"오늘날, 불안 때문에 손에 아무것도 잡혀 있지 않습니다."
불안,"나는 말하지 않았다, 그러나 나는 여전히 걱정했다."
불안,나는 정말로 나를 먹는 것에 대해 걱정한다.
불안,나는 하루 종일 불안하고 우울했다.
불안,"이 불안이 계속된다면, 그것은 떨어질 것입니다."
불안,그는 괜찮다고 말하고 계속 걱정한다.
불안,"걱정은 끝났고, 지금은 불가능한 것처럼 보입니다."
불안,불안 때문에 웃는 것이 이상했습니다.
불안,당신의 마음은 복잡하고 복잡합니다.
불안,아무도 아무 말도 하지 않았지만 나는 바보였다.
불안,"그것은 일어나지 않지만, 나는 여전히 죽고있다."
불안,"혼자있을 때, 불행을 제거하십시오."
불안,"내가 말했을 때, 내 마음은 텅 비어 있었다."
불안,어렵고 피곤한 이유가 없었다.
불안,하루 종일 기분이 좋지 않았다.
불안,집중하지 않고 어리석은
불안,왜 그런지 모르겠지만 힘들다.
